"RECORD","FC_mass","FC_QC","FC_samples","LE","LE_QC","LE_samples","H","H_QC","H_samples","NETRAD","energy_closure","Bowen_ratio","TAU","TAU_QC","USTAR","TSTAR","TKE","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","e_amb","e_sat_amb","TA_1_1_2","RH_1_1_2","T_DP_1_1_2","e","e_sat","TA_1_1_3","RH_1_1_3","T_DP_1_1_3","e_probe","e_sat_probe","H2O_density_probe","PA","VPD","Ux","Ux_SIGMA","Uy","Uy_SIGMA","Uz","Uz_SIGMA","T_SONIC","T_SONIC_SIGMA","sonic_azimuth","WS","WS_RSLT","WD_SONIC","WD_SIGMA","WD","WS_MAX","CO2_density","CO2_density_SIGMA","H2O_density","H2O_density_SIGMA","CO2_sig_strgth_Min","H2O_sig_strgth_Min","P","ALB","SW_IN","SW_OUT","LW_IN","LW_OUT","sun_azimuth","sun_elevation","hour_angle","sun_declination","air_mass_coeff","daytime","TS_1_1_1","G_plate_1_1_1","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","UPWND_DIST_INTRST","FP_DIST_INTRST","T_nr","R_LW_in_meas","R_LW_out_meas"
1762,-1.022527,3,18000,270.1039,3,18000,-15.68682,8,18000,NA,1,-0.05807697,0.005417756,7,0.06496178,0.1873438,0.0745637,29.1919,32.93727,10.96291,1.333873,4.078639,26.22722,38.76456,10.81463,1.320598,3.422185,-35.57873,0.3288887,-94.00183,0.0001030024,0.03169747,0.0009352582,87.51311,21.01587,0.06925558,0.2375843,0.1379183,0.2835865,0.002290316,0.1107238,27.67451,0.5333029,249,0.325963,0.1543295,63.33635,58.77625,185.6636,1.518491,633.5471,20.3895,9.560193,1.817592,0.899683,0.8715338,0,0,NA,NA,NA,NA,89.44183,32.18172,-64.94078,20.85374,1.621601,1,19.44398,5.894685,0.6892297,11.76675,3.143701,1.451987,95.67381,98.92753,NA,NA,NA
1763,-1.269794,8,18000,330.1758,8,18000,8.160949,8,18000,NA,1,0.02471698,0.03946109,4,0.1768157,-0.03642153,0.1682782,29.81114,33.10411,11.66289,1.396901,4.216954,27.45697,37.78483,11.54453,1.385738,3.678034,-31.60057,0.3316514,-91.91402,0.0001495528,0.04472531,0.001339241,87.49516,22.92296,-0.09707986,0.3532256,-0.1197985,0.4398584,0.008020373,0.1353236,28.98278,0.4643116,249,0.513201,0.1541953,230.9799,67.7473,18.02011,1.728619,620.3605,20.28946,9.990021,1.82704,0.9228876,0.8915343,0,0,NA,NA,NA,NA,94.51915,37.82378,-57.44044,20.85008,1.40817,1,19.408,5.489038,0.07191243,2.36422,0.7818885,0.1495682,95.67381,149.0819,NA,NA,NA
1764,-1.507008,7,18000,386.188,7,18000,-12.65463,7,18000,NA,1,-0.03276805,0.01911325,1,0.1226682,0.08089335,0.109734,30.39986,31.89417,11.53048,1.392266,4.361392,28.47296,35.54478,11.43383,1.383106,3.902056,-33.15647,0.3336398,-92.87411,0.0001302064,0.03847295,0.00117338,87.48301,25.1895,0.4298641,0.3001586,0.4255396,0.3307053,0.01438251,0.1414455,30.00133,0.4072545,249,0.6697413,0.6048689,44.71038,25.20933,204.2896,2.384866,608.7698,22.88601,9.937552,2.123278,0.9213433,0.8916954,0,0,NA,NA,NA,NA,100.0778,43.42345,-49.94091,20.84625,1.25608,1,19.65213,5.064843,2.704452,34.46737,8.141638,5.213212,95.67381,96.89584,NA,NA,NA
1765,-1.201939,7,18000,400.7055,7,18000,-23.25546,8,18000,NA,1,-0.05803629,0.00515411,8,0.06440502,0.2894387,0.3804656,31.05369,25.06163,8.449327,1.133783,4.526121,29.92533,26.74209,8.394139,1.129322,4.244334,-27.85089,0.3364364,-90.20844,0.0002132917,0.06387387,0.001881175,87.46815,31.15012,-0.3636796,0.5743242,-0.06137198,0.6271511,-0.03491637,0.1943304,31.17771,0.4600123,249,0.8189501,0.368821,189.5785,60.05163,59.42151,2.911628,618.1635,15.13225,8.076093,1.797113,0.9289305,0.901475,0,0,NA,NA,NA,NA,106.3714,48.91929,-42.44161,20.84243,1.145195,1,19.98497,4.685554,3.454511,46.7857,10.39613,6.784708,95.67381,95.47603,NA,NA,NA
1766,-1.310426,9,17996,499.3505,9,17995,-31.42825,9,17995,NA,1,-0.06293827,0.04678359,9,0.1946091,0.1302133,0.3433634,31.6786,24.90637,8.782612,1.168584,4.689786,30.68297,26.44534,8.733549,1.164326,4.43268,-26.42614,0.3338988,-89.60404,0.0002385953,0.07220304,0.002094036,87.46515,32.68353,-0.5317577,0.524728,-0.07238536,0.6038949,-0.02563839,0.2160976,31.97756,0.4090821,249,0.8227332,0.5366622,187.7517,47.76309,61.24826,3.54283,610.8468,16.50929,8.306486,2.104333,0.9261455,0.8389626,0,0,NA,NA,NA,NA,113.7695,54.22294,-34.94151,20.83872,1.063916,1,19.69008,4.351512,0.9015219,17.38148,3.955642,2.013594,95.67381,98.14432,NA,NA,NA
1767,-1.590196,3,18000,506.866,3,18000,-35.99156,4,18000,NA,1,-0.07100804,0.01303458,9,0.1025012,0.281902,0.3219401,32.38028,27.22775,10.65865,1.329363,4.879106,31.17156,29.24051,10.59842,1.323582,4.55738,-27.50714,0.3366066,-90.23653,0.000224041,0.0670046,0.001970998,87.44875,32.33799,0.1129367,0.5139752,-0.1392535,0.5887135,0.001749669,0.1820056,32.64729,0.2837113,249,0.7158612,0.1792942,309.0424,70.12656,299.9576,2.096091,597.0958,22.47559,9.427638,2.52587,0.9209169,0.891792,0,0,NA,NA,NA,NA,122.8104,59.19529,-27.44197,20.83492,1.004671,1,19.65506,4.060606,0.3068218,6.088691,2.251523,0.8529463,95.67381,100.6919,NA,NA,NA
1768,-1.468588,3,18000,490.6359,3,18000,-42.59167,3,18000,NA,1,-0.08680913,0.02952759,1,0.1538374,0.2210164,0.2822221,32.48652,27.34451,10.88198,1.340735,4.908741,31.39017,29.15266,10.82735,1.335499,4.614715,-28.94887,0.334849,-91.05758,0.0001928368,0.05731887,0.001708855,87.43913,32.79216,0.6035536,0.3987445,0.4775848,0.5966163,-0.01204416,0.2224768,32.88034,0.2764208,249,0.9219958,0.7696525,38.35414,32.92548,210.6459,3.316545,600.7628,18.84892,9.505903,2.269924,0.9212372,0.8916276,0,0,NA,NA,NA,NA,134.2392,63.61449,-19.94265,20.83109,0.9630856,1,19.77055,3.845298,2.418577,57.03151,9.197477,5.819794,95.67381,93.69095,NA,NA,NA
1769,-1.726756,3,17996,570.8307,3,17996,-62.73554,3,17996,NA,1,-0.1099022,0.0538968,1,0.2078987,0.2410284,0.5159612,32.69999,25.37127,9.85191,1.260195,4.968168,31.82373,26.80276,9.808231,1.255989,4.730483,-28.84461,0.3368193,-90.97834,0.0001933595,0.05771869,0.001713801,87.42822,34.74493,0.5919716,0.5968601,0.6752198,0.7783895,-0.01823971,0.2641783,33.22679,0.3924789,249,1.185638,0.8979691,48.7586,39.8984,200.2414,4.183374,600.0307,19.17365,8.928152,2.393165,0.908098,0.8721837,0,0,NA,NA,NA,NA,148.8657,67.12992,-12.44295,20.82731,0.9361482,1,19.98692,3.726565,1.894611,43.38686,7.423287,4.54221,95.67381,95.10995,NA,NA,NA
1770,-1.747405,3,18000,604.8572,3,18000,-81.73314,3,18000,NA,1,-0.135128,0.1169068,2,0.3067164,0.2135802,0.6300607,32.92184,22.15409,8.004669,1.113955,5.03029,32.11398,23.32259,7.964944,1.110476,4.808935,-28.04517,0.3345493,-90.57652,0.0002077674,0.06239506,0.001834641,87.41183,36.98458,0.4502036,0.6994771,1.306377,0.819802,-0.006488759,0.3142895,33.35489,0.412131,249,1.585404,1.381776,70.98508,29.02916,178.0149,4.751498,599.9379,16.42994,7.886493,2.151269,0.9190813,0.8754851,0,0,NA,NA,NA,NA,166.8977,69.26073,-4.943016,20.82357,0.9220644,1,19.90608,3.726854,2.112373,44.5575,7.905219,4.869891,95.67381,95.09894,NA,NA,NA
1771,-1.727482,3,18000,609.7036,3,18000,-71.68484,3,18000,NA,1,-0.1175733,0.06701589,2,0.2324254,0.2476274,0.4925195,33.25969,22.86222,8.698486,1.171605,5.126424,32.3552,24.20127,8.653846,1.167543,4.874678,-27.69453,0.3344826,-90.49676,0.0002184898,0.06442942,0.001925311,87.38479,37.07135,0.741212,0.531693,0.8531144,0.7926988,-0.0005434947,0.2719749,33.66173,0.3443284,249,1.352504,1.13013,49.01497,32.84407,199.985,3.999041,595.5003,18.56639,8.285497,2.378947,0.9186719,0.8882353,0,0,NA,NA,NA,NA,186.834,69.56713,2.556297,20.81973,0.9199152,1,20.10813,3.818923,2.338816,52.92364,8.824034,5.543838,95.67381,94.14144,NA,NA,NA
