SampleID,Visit,Category,WaterPotential_MPa,Tin_wt,other tin wt?,Wet_wt,Dry_wt,% Moisture,Total N,Total C,C/N Ratio,OM- crucible wt,OM- before,OM- after,"OM, % LOI",pH,EC original read,EC dilution,EC,NH4,NO3,P
24,B,Untreated,-0.82,1.0517,,4.6821,2.8794,98.6,0.59,9.579,16.2491,20.0637,23.2758,22.9908,8.9,7.598,1.979,,1.979,6.8572,2.719,77.5
25,B,Treated,-4.87,1.0495,,5.0147,3.6102,54.8,0.797,12.864,16.1398,20.4856,23.4751,23.1907,9.5,7.832,14.89,,14.89,0.7623,1.8062,108.72
26,B,Untreated,-0.23,1.0478,,7.4712,3.951,121.3,0.734,13.435,18.3128,17.2828,20.3238,19.9889,11,7.779,3.394,,3.394,7.1055,0.2834,101.85
27,B,Untreated,-0.82,1.0597,,8.8449,5.8389,62.9,0.371,11.543,31.0935,27.4548,30.5846,30.4251,5.1,7.953,3.286,,3.286,9.5577,2.4255,36.74
28,B,Native,-0.61,1.0589,,8.9565,5.553,75.7,0.229,9.133,39.8259,19.8779,24.2712,24.147,2.8,8.052,2.459,,2.459,3.0307,0.046,39.13
29,B,Untreated,-0.68,1.0512,,9.044,5.719,71.2,0.385,10.953,28.4467,21.5011,24.5514,24.3545,6.5,7.825,2.984,,2.984,4.76,0.0955,47.18
30,B,Native,-0.99,1.0501,,5.2875,3.94125,46.6,0.321,10.011,31.1603,18.8835,22.1315,21.987,4.4,7.888,3.292,,3.292,3.5213,3.3597,46.28
31,B,Treated,-1.94,1.0553,,10.2335,7.4083,44.5,0.174,7.33,42.1623,21.5167,24.5603,24.4671,3.1,8.14,5.69,,5.69,2.174,0.2128,50.93
32,B,Native,-0.97,1.0467,,7.2442,3.6782,135.5,0.334,9.56,28.6433,21.1607,24.0847,23.9282,5.4,8.149,13.33,,13.33,3.5913,0.0854,43.06
33,B,Treated,-0.98,1.0508,,5.2963,4.2144,34.2,0.266,9.085,34.1723,21.1678,24.2372,24.0891,4.8,8.557,1.932,,1.932,2.0938,1.7902,35.79
34,B,Native,-1.18,1.0528,,14.1188,6.8514,125.3,0.239,7.741,32.415,19.2256,22.3188,22.1701,4.8,8.064,8.05,,8.05,2.5946,0.056,22.58
35,B,Treated,-0.71,1.0515,,6.8324,4.6361,61.3,0.134,8.508,63.4141,21.8751,24.9394,24.8706,2.2,8.287,3.037,,3.037,1.9439,0.058,36.21
